id,datasetid,datecollected,decimallongitude,decimallatitude,coordinateuncertaintyinmeters,scientificnameaccepted
33354193,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354195,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354197,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354199,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354201,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354203,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33354205,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-03-10T00:00:00,-2.5333,58.6833,0,Clupea harengus
33355547,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-13T00:00:00,2.95,53.55,0,Clupea harengus
33355549,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-13T00:00:00,2.95,53.55,0,Clupea harengus
33356693,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356695,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356697,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356699,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356701,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356703,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356705,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356707,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356709,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356711,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356713,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356715,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356717,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33356719,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Scomber scombrus
33357321,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357323,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357325,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357327,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357329,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357331,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357333,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357335,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357337,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-12T00:00:00,0.5667,54.1,0,Clupea harengus
33357573,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-31T00:00:00,2.5,57.7333,0,Scomber scombrus
33357619,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-24T00:00:00,-0.5833,56.3,0,Clupea harengus
33357621,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-24T00:00:00,-0.5833,56.3,0,Clupea harengus
33357623,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-24T00:00:00,-0.5833,56.3,0,Clupea harengus
33357625,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-24T00:00:00,-0.5833,56.3,0,Clupea harengus
33357627,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-24T00:00:00,-0.5833,56.3,0,Scomber scombrus
33358523,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-13T00:00:00,0.0167,54.7833,0,Clupea harengus
33358999,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359001,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359003,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359005,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359007,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359009,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-02-19T00:00:00,6.85,53.85,0,Clupea harengus
33359091,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-31T00:00:00,2.5,57.7333,0,Clupea harengus
33359093,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-31T00:00:00,2.5,57.7333,0,Clupea harengus
33359095,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2763,1979-01-31T00:00:00,2.5,57.7333,0,Clupea harengus
