Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C]
77CN,1,B,2014-01-12T10:10,57.0300,-031.2300,,7,5.3
77CN,2,B,2014-01-12T10:15,57.0300,-031.1800,,7,7.3
77CN,3,B,2014-01-12T10:20,57.0300,-031.1400,,7,7.3
77CN,4,B,2014-01-12T10:25,57.0400,-031.1000,,7,7.3
77CN,5,B,2014-01-12T10:30,57.0400,-031.0600,,7,7.3
77CN,6,B,2014-01-12T10:35,57.0400,-031.0200,,7,7.3
77CN,7,B,2014-01-12T10:40,57.0400,-030.9800,,7,7.3
77CN,8,B,2014-01-12T10:45,57.0400,-030.9400,,7,7.3
77CN,9,B,2014-01-12T10:50,57.0400,-030.9000,,7,7.1
77CN,10,B,2014-01-12T10:55,57.0400,-030.8600,,7,7.3
77CN,11,B,2014-01-12T11:00,57.0400,-030.8100,,7,7.3
77CN,12,B,2014-01-12T11:05,57.0400,-030.7700,,7,7.3
77CN,13,B,2014-01-12T11:10,57.0400,-030.7300,,7,7.3
77CN,14,B,2014-01-12T11:15,57.0400,-030.6900,,7,7.3
77CN,15,B,2014-01-12T11:20,57.0400,-030.6500,,7,7.3
77CN,16,B,2014-01-12T11:25,57.0400,-030.6100,,7,7.3
77CN,17,B,2014-01-12T11:30,57.0400,-030.5700,,7,7.4
77CN,18,B,2014-01-12T11:35,57.0400,-030.5300,,7,7.3
77CN,19,B,2014-01-12T11:40,57.0400,-030.4900,,7,7.3
77CN,20,B,2014-01-12T11:45,57.0400,-030.4400,,7,7.3
77CN,21,B,2014-01-12T11:50,57.0400,-030.4000,,7,7.3
77CN,22,B,2014-01-12T11:55,57.0400,-030.3600,,7,7.4
77CN,23,B,2014-01-12T12:00,57.0400,-030.3200,,7,7.3
77CN,24,B,2014-01-12T12:05,57.0400,-030.2800,,7,7.3
77CN,25,B,2014-01-12T12:10,57.0500,-030.2400,,7,7.3
77CN,26,B,2014-01-12T12:15,57.0500,-030.2000,,7,7.3
77CN,27,B,2014-01-12T12:20,57.0500,-030.1600,,7,7.3
77CN,28,B,2014-01-12T12:25,57.0500,-030.1200,,7,7.3
77CN,29,B,2014-01-12T12:30,57.0500,-030.0800,,7,7.3
77CN,30,B,2014-01-12T12:35,57.0500,-030.0300,,7,7.3
77CN,31,B,2014-01-12T12:40,57.0500,-029.9900,,7,7.3
77CN,32,B,2014-01-12T12:45,57.0500,-029.9500,,7,7.3
77CN,33,B,2014-01-12T12:50,57.0500,-029.9100,,7,7.3
77CN,34,B,2014-01-12T12:55,57.0500,-029.8700,,7,7.3
77CN,35,B,2014-01-12T13:00,57.0500,-029.8300,,7,7.3
77CN,36,B,2014-01-12T13:05,57.0500,-029.7900,,7,7.7
77CN,37,B,2014-01-12T13:10,57.0500,-029.7500,,7,7.7
77CN,38,B,2014-01-12T13:15,57.0500,-029.7100,,7,7.7
77CN,39,B,2014-01-12T13:20,57.0500,-029.6600,,7,7.8
77CN,40,B,2014-01-12T13:25,57.0500,-029.6200,,7,7.8
77CN,41,B,2014-01-12T13:30,57.0500,-029.5800,,7,7.8
77CN,42,B,2014-01-12T13:35,57.0500,-029.5400,,7,7.7
77CN,43,B,2014-01-12T13:40,57.0500,-029.5000,,7,7.4
77CN,44,B,2014-01-12T13:45,57.0500,-029.4600,,7,7.4
77CN,45,B,2014-01-12T13:50,57.0600,-029.4200,,7,7.4
77CN,46,B,2014-01-12T13:55,57.0600,-029.3800,,7,7.8
77CN,47,B,2014-01-12T14:00,57.0600,-029.3400,,7,7.7
77CN,48,B,2014-01-12T14:05,57.0600,-029.2900,,7,7.7
77CN,49,B,2014-01-12T14:10,57.0600,-029.2500,,7,7.7
77CN,50,B,2014-01-12T14:15,57.0600,-029.2100,,7,7.7
77CN,51,B,2014-01-12T14:20,57.0600,-029.1700,,7,7.8
77CN,52,B,2014-01-12T14:25,57.0600,-029.1300,,7,7.8
77CN,53,B,2014-01-12T14:30,57.0600,-029.0900,,7,7.7
77CN,54,B,2014-01-12T14:35,57.0600,-029.0500,,7,7.7
77CN,55,B,2014-01-12T14:40,57.0600,-029.0100,,7,7.7
77CN,56,B,2014-01-12T14:45,57.0600,-028.9700,,7,7.7
77CN,57,B,2014-01-12T14:50,57.0600,-028.9200,,7,7.7
77CN,58,B,2014-01-12T14:55,57.0600,-028.8800,,7,7.8
77CN,59,B,2014-01-12T15:00,57.0600,-028.8400,,7,7.7
77CN,60,B,2014-01-12T15:05,57.0600,-028.8000,,7,7.7
77CN,61,B,2014-01-12T15:10,57.0600,-028.7600,,7,7.8
77CN,62,B,2014-01-12T15:15,57.0600,-028.7200,,7,7.7
77CN,63,B,2014-01-12T15:20,57.0600,-028.6800,,7,7.6
77CN,64,B,2014-01-12T15:25,57.0600,-028.6400,,7,7.4
77CN,65,B,2014-01-12T15:30,57.0600,-028.6000,,7,7.4
77CN,66,B,2014-01-12T15:35,57.0700,-028.5500,,7,7.7
77CN,67,B,2014-01-12T15:40,57.0700,-028.5100,,7,7.7
77CN,68,B,2014-01-12T15:45,57.0700,-028.4700,,7,7.6
77CN,69,B,2014-01-12T15:50,57.0700,-028.4300,,7,7.6
77CN,70,B,2014-01-12T15:55,57.0700,-028.3900,,7,7.7
77CN,71,B,2014-01-12T16:00,57.0700,-028.3500,,7,7.6
77CN,72,B,2014-01-12T16:05,57.0700,-028.3100,,7,7.7
77CN,73,B,2014-01-12T16:10,57.0700,-028.2700,,7,7.8
77CN,74,B,2014-01-12T16:15,57.0700,-028.2300,,7,7.7
77CN,75,B,2014-01-12T16:20,57.0700,-028.1800,,7,7.8
77CN,76,B,2014-01-12T16:25,57.0700,-028.1400,,7,7.8
77CN,77,B,2014-01-12T16:30,57.0700,-028.1000,,7,7.8
77CN,78,B,2014-01-12T16:35,57.0700,-028.0600,,7,7.8
77CN,79,B,2014-01-12T16:40,57.0700,-028.0200,,7,7.8
77CN,80,B,2014-01-12T16:45,57.0700,-027.9800,,7,7.8
77CN,81,B,2014-01-12T16:50,57.0700,-027.9400,,7,7.8
77CN,82,B,2014-01-12T16:55,57.0700,-027.9000,,7,7.8
77CN,83,B,2014-01-12T17:00,57.0700,-027.8600,,7,7.6
77CN,84,B,2014-01-12T17:05,57.0700,-027.8200,,7,7.7
77CN,85,B,2014-01-12T17:10,57.0700,-027.7700,,7,7.6
77CN,86,B,2014-01-12T17:15,57.0800,-027.7300,,7,7.6
